"Gene","Macrophages","Monocytes","Kupffercells","Microglialcells","DominantCell"
"ABI3",67.3,98.7,110.4,2.7,"none"
"ACP5",293.4,10.4,93.1,0.9,"macrophages"
"ACTB",7219.3,11294.5,5668,247.8,"none"
"ACTG1",1644.9,2196.5,1296.7,67.1,"none"
"ADAM8",29.9,23.4,10.2,0,"macrophages;monocytes"
"ADAMDEC1",28.4,0.9,11.2,0,"macrophages"
"ADAR",81.9,86.3,91.2,31.3,"none"
"ADGRE1",10.8,87.4,32.4,0,"monocytes"
"ADGRE3",7.7,21,1,3.6,"monocytes"
"ADGRG1",15.5,2.4,6.6,39.4,"microglial"
"ADGRG3",1.4,2.2,1.2,0,"none"
"ADORA2A",0.4,0.2,0,0,"none"
"ADORA2B",6,12.4,2,3.6,"monocytes"
"ADORA3",31.4,0.9,62.2,0,"kupffer"
"AGR2",6.1,0,1.3,0,"macrophages"
"AIF1",1445.6,3377.3,2004.2,9.8,"none"
"AK5",0.4,0.2,0,39.4,"microglial"
"ALOX5AP",607.8,14.5,116.4,12.5,"macrophages"
"ANGPTL4",5.9,0,3.2,2.7,"macrophages"
"ANXA1",941.3,2696.5,547.3,27.7,"monocytes"
"AP1S2",299.1,383.3,344.9,30.4,"none"
"APOBEC3A",73.3,307.7,40.6,0,"monocytes"
"APOBR",36.5,22.1,26.8,1.8,"none"
"AQP9",89.1,342.1,51.3,0,"monocytes"
"ARAP3",2.3,4.1,3.9,14.3,"microglial"
"ARG1",0.7,1.7,46.2,0,"kupffer"
"ASB2",4.6,3.7,0.5,1.8,"none"
"ASGR1",44.5,24.3,88.3,1.8,"kupffer"
"ASGR2",18.3,1.3,83.2,0,"kupffer"
"ASPRV1",0.3,0.2,0.5,0.9,"none"
"ATF4",174.2,215.9,146.7,21.5,"none"
"ATG4B",31.9,34.9,27.5,30.4,"none"
"ATG5",28.3,35.8,21.3,41.2,"none"
"ATG7",28.6,18.9,18.5,126.1,"microglial"
"ATP2A2",77.2,76.8,49,60.8,"none"
"ATP5MJ",377.7,405,751.8,16.1,"none"
"B2M",8409.4,16866.8,10560.9,351.6,"none"
"B3GNT8",4.2,1.1,8.1,0,"kupffer"
"BHLHE41",61.3,0.2,4.2,115.4,"microglial;macrophages"
"BMAL1",12.8,22.8,12.3,17.9,"none"
"BMP6",0.8,0,5.8,70.7,"microglial"
"BPIFB1",0.6,0,0,0,"none"
"BST1",30.2,24.5,31,3.6,"none"
"BTNL8",0.3,0.4,2.7,0,"none"
"C15orf48",308.1,68.7,20.8,0,"macrophages"
"C1QA",1776.8,419.8,3931,19.7,"kupffer"
"C1QB",1814.7,253,3907,33.1,"kupffer"
"C1QC",969.3,43.6,1255.6,27.7,"kupffer;macrophages"
"C1orf162",424.5,442.9,721.5,11.6,"none"
"C5AR1",498.2,3492.2,396.8,5.4,"monocytes"
"CACNG6",0,0,0,0,"none"
"CALM2",865.3,1023.8,741.1,136.9,"none"
"CCDC102B",3.8,0.4,3,42,"microglial"
"CCL11",0.4,0,0,0,"none"
"CCL13",80.4,0.2,0.5,0,"macrophages"
"CCL17",54.3,0.2,1.1,0,"macrophages"
"CCL18",205.7,2.6,1.1,0,"macrophages"
"CCL2",671.6,3.7,5.9,8.1,"macrophages"
"CCL22",10.5,1.3,0.5,0,"macrophages"
"CCL23",6.5,11.1,21.7,0,"kupffer"
"CCL26",0.2,0.7,2.6,0,"none"
"CCL3",1607.3,1380.4,565.1,2.7,"macrophages;monocytes"
"CCL4",1352.6,2638.6,391.2,3.6,"monocytes;macrophages"
"CCL7",14.9,0,0,0,"macrophages"
"CCNI",486.8,964.4,513,74.3,"none"
